Positive,ProviderID,UserKey,InitialProb,SampleID,numTest,CurrentProb
Unknown,1,cf5d10343c2a4ab3abd5be7d113b2d97,0.0166,4cdcf136cc9e4d3aa9fbc121a3121726,1,0.0166
Unknown,1,a0524abccae048b8949730524615d446,0.0166,f1d251941257499c9a9905e5aa5464b9,1,0.0166
Unknown,1,b5cc78793dd844f3b093cb1cc0fa7f66,0.0166,2947001879404610a1bedf26716544df,1,0.0166
Unknown,1,9cd2c51c98ba418692fae9d597215e72,0.0166,0e0b16083c934ecdaf6e7908a22a1632,1,0.0166
Unknown,1,6e5dbb98a3194b929e51055fdbd6b9a3,0.0166,cda5a9da0fd743d28dd5561b9abe326f,1,0.0166
Unknown,1,8f773cbae880434bb257202762f536a8,0.0166,d6b90089ebb34b72819c18b45d70abeb,1,0.0166
Unknown,1,d39c4940953b4d74ba72301050a61ea7,0.0166,acbb7d7677cb4a9bb0be2b0e72d604ce,1,0.0166
Unknown,1,a8ed3beda53e4edc94a6c5f8b3a8409b,0.0166,2e246c20f1bd4617adef2a9d74cd9643,1,0.0166
Unknown,1,2573c21f672c4eaeb7a7fe39d2815e65,0.0166,4d7884689126467aa4269627e9b80347,1,0.0166
Unknown,1,bf72abfa3a73480fa64f08f26ab61a51,0.0166,6b2b3298fdd54e44959f1f3284d7dd70,1,0.0166
Unknown,1,9e8c81a31768443f8028e0c826884871,0.0166,f263cfa39a2744b69dea001466eac94a,1,0.0166
Unknown,1,85f4d1cf23b4498295d16b1d4076ed72,0.0166,6cc93922f3d744978d130198db2f97c8,1,0.0166
Unknown,1,0b9399bae696419f9cc9f84e34da5e4d,0.0166,f19e1cf85d96433aa9030f0409f1ed35,1,0.0166
Unknown,1,01bfa0c20d7446ce81f77f85a3849b18,0.0166,8e8697aff42d4f3ea1448f766e7b63ff,1,0.0166
Unknown,1,b2a647c5e575458fb353cc3f57c1960d,0.0166,fde7ed7a769e42fb89f8cb1d4fba46b0,1,0.0166
Unknown,1,767a9761e3dc43e8ada9c39208391ad4,0.0166,830eeb7f9cb94af0b9ea94fcd465368b,1,0.0166
Unknown,1,dfb0c587db2e4dfc8354292236e92a91,0.0166,78541e31932d4927b24527c8ae97bb30,1,0.0166
Unknown,1,d31a83c9fe81416e83643b504920a9ca,0.0166,b5b30057b55b4b6cb939ad16d79fa3ec,1,0.0166
Unknown,1,e7682a1974ce49e29f13d97d123d6a1f,0.0166,3be89f1c7d9b4e899dd591f1ba647790,1,0.0166
Unknown,1,de854e683c1b4e0293a76b67e6266065,0.0166,7d93c722b52b462d8ef97f48ddb2c012,1,0.0166
Unknown,1,a53a8d0a94aa44e994516b18ebcc4bb8,0.0166,eebe17cdcf724790a5d0314500164d8d,1,0.0166
Unknown,1,dda30b0b8b4946d988d9c244afcae3fc,0.0166,34272f38c50f4fd2aa7beabaaf0c31a1,1,0.0166
Unknown,1,f733ec0f7d2f49d0963450b50d010c4f,0.0166,4d878e8d5f4a46afb8fd2cba7f860c01,1,0.0166
Unknown,1,1c68d07c37b941658b61eef276111c94,0.0166,b7559c421af14b55a75a98a18ac79736,1,0.0166
Unknown,1,e346ddc5b7834cd386ba6693422270b1,0.0166,0f715eecd14d4d2097b6a9a3c5ce6881,1,0.0166
Unknown,1,d42becc164dd43afb73864577cf10267,0.0166,9f15e583a17f4bf5ab8e7e70b49b3d4a,1,0.0166
Unknown,1,f5c4c56285754273a1bc7f9384f789e5,0.0166,575056a5aaa144149e1c5d4a4827ba10,1,0.0166
Unknown,1,0e81739ff7ed4187828f45bc6b6d1830,0.0166,cadc091dbed448f4b13eebc4c2783c1b,1,0.0166
Unknown,1,8298e9d295ad4e898e232c6f78fdfab5,0.0166,a209a4950e104ac0bbea12ea18274ac8,1,0.0166
Unknown,1,dbc811b96a614bfaa2980a5463cb3e23,0.0166,dc361452cce0466880109f09abc6e0d6,1,0.0166
Unknown,1,aaa12e30fa6f4c599d0e081b9fa6ab56,0.0166,3f71aed3ad164cabaf4aca175ec02039,1,0.0166
Unknown,1,426fedeee417432594e7e83ee95e40b3,0.0166,90678698a3884d07a7530c3c8d86d138,1,0.0166
Unknown,1,4312cddbfab24869a9d26668f3c5d0ff,0.0166,7b2d248f5e7a475aa414b4353fe575a9,1,0.0166
Unknown,1,829a46dc4a824a12ae4ccf996e74da51,0.0166,045c2516cad149a0b7d30be5387cd772,1,0.0166
Unknown,1,8612565daf604d8b9e6827432dcbe63b,0.0166,9d2c067be36840fa9f6abf548fed77df,1,0.0166
Unknown,1,b53d19b643224ec2aeeba4ef034ddba1,0.0166,65b35cbd79274f8e81cbd496bc4e984b,1,0.0166
Unknown,1,fd45c1d7324e401684dcb2c6bcb1dede,0.0166,acbe7b530dea4a2c82baa648aa7cd8c5,1,0.0166
Unknown,1,777d3c5c82834a65a0ed272afee4d311,0.0166,9f9877a7474941aea417a9ad626b9bae,1,0.0166
Unknown,1,12295f25a6a141f795b19f553b4f9405,0.0166,77bce03f85e54b3497fd10b83c26edac,1,0.0166
Unknown,1,245c709b07124ec4a103fdff980c30fb,0.0166,1b302791482045dda4d5e5d12ccf09eb,1,0.0166
Unknown,1,642b4b2c578c445db2982c88d668a3b8,0.0166,f3a5fa21ca87433e895da5e263a0521b,1,0.0166
Unknown,1,bfd3a5486df04c01a5245f8fed47e23d,0.0166,b835be7c84604abfad5287059dc7128f,1,0.0166
Unknown,1,37143fb868464c038faef54a08e76272,0.0166,0fe46fbf884d4f4cad8bbf6122ce483a,1,0.0166
Unknown,1,1b987a36dcaa47ba9a003cd1dc6173b3,0.0166,6e4da3810aee4c7e902e5697c588ad34,1,0.0166
Unknown,1,886837879e03438e9f5131dad5b8d3a0,0.0166,46dd51b1e7424343a5e8397278bea741,1,0.0166
Unknown,1,d14d00db22c148b1896f727487351317,0.0166,fed91f83373f457b97cf564003171cf7,1,0.0166
Unknown,1,989dad4f789c4d77a951008b79365d26,0.0166,8aea0587a3e143298006493556b7bba0,1,0.0166
Unknown,1,51fe7e651cb04ab3ac5a394447ef02a7,0.0166,1b4d5d870f4a453080c247eb118629c0,1,0.0166
Unknown,1,d94dfe4b591e49e68ee52d85cfc2b9e8,0.0166,8f0e5eb08b1b464da749723daef736e4,1,0.0166
Unknown,1,98a78a611d8441e9a23e8453a851a239,0.0166,0cb429bf274e4ee482d38251e732111b,1,0.0166
Unknown,1,655c1d911b7949e78f74f5d4f6eb410d,0.0166,7874ed55f6924450943dcef43a49c978,1,0.0166
Unknown,1,2e910bba55f7431e80f14a0477315ea6,0.0166,769ba338d57b407782335ebf6ddefefb,1,0.0166
Unknown,1,9adf4cf50e134224b1bb46b3272a8cc8,0.0166,2ee766ad1fc14aaf83087f24c339653f,1,0.0166
Unknown,1,a71a4d8c27524c98b6f13ad0ea1614be,0.0166,5fe83c2e41394490832654af14c7f958,1,0.0166
Unknown,1,c684c1087c4145e4a2a9de6f894ff170,0.0166,8241a1fbcb8543b38417d35190bde84d,1,0.0166
Unknown,1,ffe1f027ed40498e89bf930a52f1a324,0.0166,dc194a89920044d3a3c053a26ee4d993,1,0.0166
Unknown,1,04ad6e35d9e8427ca31da8c4b64c3227,0.0166,8c045d1aaf3444959b9a3498825852bf,1,0.0166
Unknown,1,fab2ea5316f44cc6a1e1bb0fa6fafd2b,0.0166,366263b2a04b462a90a888538ec86aa2,1,0.0166
Unknown,1,83b1934ed36243ff856e5a2fa0e31258,0.0166,3dcf3d4759854b1f938a4cadd9ccc1b1,1,0.0166
Unknown,1,847ddc4e42ee49748374d15eada03740,0.0166,f256c2a508d6432891ea0255f00e4235,1,0.0166
Unknown,2,a5d75eb430c540809aeeef536851d073,0.0666,7bbdfd4c384349a38b4f9d79c7075153,1,0.0666
Unknown,2,ee29d39c6fb148788a4f95221940bdd1,0.0666,42721e8083c94585a63cb2b09fb84e85,1,0.0666
Unknown,2,7932646022fb40fd919d87bcce4e7666,0.0666,f8080ea867b34527bd314d7517664c17,1,0.0666
Unknown,2,28adb3eb268341d5aa4a60fd55f72642,0.0666,19576be50c9c407ea307efe91af76a70,1,0.0666
Unknown,2,15759dd81eaf44ed94e43a26c2780772,0.0666,f4fb75eb2ec64612aac0ca09505a6d51,1,0.0666
Unknown,2,52ac1884417c444da3442c57b98488d9,0.0666,5b50307176764006b880c345b4ea6b18,1,0.0666
Unknown,2,624d4c5cd1514418999fa63cc2796026,0.0666,19969626c832437abfa262b7f4942813,1,0.0666
Unknown,2,97ab58d548c648f9a005862303634431,0.0666,a35e5cd4b6fd4950a4614930257cf3d3,1,0.0666
Unknown,2,f2a61c5d251e434a882b756c93ba92d3,0.0666,b69a48d124494ce7b0ee6c007999dcfc,1,0.0666
Unknown,2,119700108ef84ce8a4524bb30d0b5fd6,0.0666,568771de38a14ad0b7eba1eb7bf81878,1,0.0666
Unknown,2,e3e7e534b43640d2bb5237793e4a45c4,0.0666,1704b5921aad451693a179533556a75a,1,0.0666
Unknown,2,d4dee09fe503444ca8ff70dd165ca974,0.0666,4228e462813d4469a6f699a7576506f0,1,0.0666
Unknown,2,2844a5259f214d0fa16db93095efbed5,0.0666,5173bf45113f4d1d8a46af849d10cb28,1,0.0666
Unknown,2,afcbb3ff7bd540c28f237a04ee7e587a,0.0666,2404099c4f3b437da69c8bc692b2b502,1,0.0666
Unknown,2,2483245d0b8a4fcfbf645b67222258de,0.0666,9156539538ec40c1b10d166bb8f556fd,1,0.0666
Unknown,2,62576673681f431fba82dfefabbde202,0.0666,797ae9f6127c4c9b918f195d1b1af5b6,1,0.0666
Unknown,2,391a596bc701427b9ec351eee443076f,0.0666,27bd655b1464486d9307d866927df298,1,0.0666
Unknown,2,546668db9967496d83e5e244e27d3116,0.0666,ea42b37125684f63940a6a9414c0e478,1,0.0666
Unknown,2,61f9f49bf4124d01ae89d42b54c2987b,0.0666,f5ab3d009c5e40c28d7173c0a1c4efad,1,0.0666
Unknown,2,35566d1c834e4f33b9f52e076058e37b,0.0666,93b15894d37c47cf8dfbac1f1ff0df80,1,0.0666
Unknown,2,0341f1e46ff2450cad778706644aec04,0.0666,033ab1c59fc3412584042d5c0f706c4c,1,0.0666
Unknown,2,9300cb09eb324a119b7919b9f8f3ae4d,0.0666,f4b9d5f65b104356ae86fcd4e8620d82,1,0.0666
Unknown,2,bfc7c31cbd71477ca3fff7acb3a60778,0.0666,401575f179544ff189119069d41a877e,1,0.0666
Unknown,2,5520ef3eb5dc4a8093a1f931cbac0ca2,0.0666,2abd0012b9f841568380882815f7e02e,1,0.0666
Unknown,2,2e875ae3d1a0495fb42ca7949b4ced10,0.0666,666546d14dba4219bf41ba006ed0f3a3,1,0.0666
Unknown,2,f551daa8f8454804894fe033fa10bd0f,0.0666,f8d298d35931405a87eca56c5e4b37f4,1,0.0666
Unknown,2,0a221ae3421247d2ac407cdd455091e0,0.0666,5b66617a343b4c3da122889efef0044d,1,0.0666
Unknown,2,c048a0c9d4294690ab68ca54e4602997,0.0666,0e3c8fc4c3e7476a887fa852a6962a3f,1,0.0666
Unknown,2,046ae42b76b54d16ac991ae806a9c5c5,0.0666,cc65f8c825954f909875574323427f5b,1,0.0666
Unknown,2,d3035e46f3144be1841ebfa946898e6e,0.0666,26c8c08a729b41fcb986ff2ccd590800,1,0.0666
Unknown,2,b76c759cae3e49c9acafa0cc4603102f,0.0666,f3a45c4654414ada9b636bca6fdb20de,1,0.0666
Unknown,2,fa533eedd90d42a097be942e56b89ccc,0.0666,4aa9066e0a4a4573b77f196496925b61,1,0.0666
Unknown,2,fd94f501ad3c4f4593ab96fbae8956bb,0.0666,361d7a60703344b0899cfa858ba07fa5,1,0.0666
Unknown,2,bfc95b47f8ec4c429b4311ee78d5834f,0.0666,42b5272c48004ceda9ba9bd6c732db76,1,0.0666
Unknown,2,6eb826363ac44acdaa78dcf407bf2924,0.0666,bf90835c0d4842089ad16a67b7c7de7c,1,0.0666
Unknown,2,71ef35310f4e42079e3d91be412a8a25,0.0666,ccf672466f354962b6d1ad89641f0e12,1,0.0666
Unknown,2,e233b27342ee4ac2ac3510d7d91e2f13,0.0666,735ed56aa9624e0fb7ebf400665744c7,1,0.0666
Unknown,2,99445fdfb9744cf698b06c3fdfb45b06,0.0666,825fcdf2050b4c839d673dda22a7f7ff,1,0.0666
Unknown,2,37655552444b4cccbda52bbb164796a4,0.0666,35d9867b32a042e6a3bfd46e9334521d,1,0.0666
Unknown,2,14953a34e7b64a98a8778c812577f85d,0.0666,a4312cf7b0714d56acf32a55d20455af,1,0.0666
Unknown,2,637d2e707a914d9cb87464dbbc053107,0.0666,fe67a5ebd3fe4d58bf69e83350e7f76d,1,0.0666
Unknown,2,bbcc7b270bb345609d792e885fff4e34,0.0666,60066a182afc43a9b907c401f8bd3a0b,1,0.0666
Unknown,2,77268c6d3f92473e94a4aa0c7cd610be,0.0666,d0bdd50d60a54455b86704f17d825ab6,1,0.0666
Unknown,2,f2216c0659724a8683355709da5eec84,0.0666,e2d2542e022945819e9e3f827f0200b2,1,0.0666
Unknown,2,77781947d89f4e2787150a81bb9cccea,0.0666,0835530a742e4a4ba16014ef10dc4901,1,0.0666
Unknown,2,ee09cd47425d4a668e010a1aad6ee002,0.0666,11d7866cfb744dd697b36bf090e1dcb6,1,0.0666
Unknown,2,68381e713e4b4bac9a302c559f7864ea,0.0666,4d10bd9706964c438fa66c3894c8c61a,1,0.0666
Unknown,2,cf6c2aec437646aba414bcf8d7e0b348,0.0666,81a299d4025843449cc77b198da58cec,1,0.0666
Unknown,2,7563c1a5a6a8456c8a736a0d1b06495c,0.0666,7a931d3267d544df99446df405d6da11,1,0.0666
Unknown,2,01ecd6ab2bfe4cff92057e131c6c6f3e,0.0666,95694a48c91e411fa1403b292e368e1d,1,0.0666
Unknown,2,62183e749c68492eaae00b7c9f8b595a,0.0666,74320b6c7fc7411992a70c8ecf5e287d,1,0.0666
Unknown,2,dd7907cc7cd04aa288604637edd52f4a,0.0666,22fe6d704abc4cfba2ffe948f6421e80,1,0.0666
Unknown,2,a5c2b1a2e70f4973a77c7d395ad9a04b,0.0666,9b3cad12f2f74e77b6ec0f0877d12cab,1,0.0666
Unknown,2,f885be2982ff40b88890e9b79e97babe,0.0666,7f464081888440feabd3ffbd4e7deb80,1,0.0666
Unknown,2,683f9ee5509e42d3a8caaa1f9fa87021,0.0666,d46d44336fb84eb995de7d4ce2bf09e6,1,0.0666
Unknown,2,ba66799720524aaabc6f22b4b6c7429c,0.0666,951488e9e25540eab54fc98b3a727697,1,0.0666
Unknown,2,23400835f4804f3a9530b727d8f2d788,0.0666,1ca49f8f23574eb991796f0f4279a6e2,1,0.0666
Unknown,2,3d112d3a12cf4d04a7368a740ee852b7,0.0666,7b9888921ab24165a3cc6c3130915e81,1,0.0666
Unknown,2,a52d17421dc04361aaf90d0e7febba07,0.0666,9772cf20ee1440ecaab1c7d04a734c8a,1,0.0666
Unknown,2,03b6c5579c98479686f1449c502b6174,0.0666,aec29b6e22e34070b5d77bcee2cf2843,1,0.0666
